patient	well_fov	input_subparent_name	mask_subparent_name
NF0014_T2	G4-5	zstack_images	segmentation_masks
NF0014_T2	G10-2	zstack_images	segmentation_masks
NF0014_T2	D9-7	zstack_images	segmentation_masks
NF0014_T2	G7-4	zstack_images	segmentation_masks
NF0014_T2	D5-4	zstack_images	segmentation_masks
NF0014_T2	G10-4	zstack_images	segmentation_masks
NF0014_T2	D4-4	zstack_images	segmentation_masks
NF0014_T2	F8-5	zstack_images	segmentation_masks
NF0014_T2	E9-5	zstack_images	segmentation_masks
NF0014_T2	C10-2	zstack_images	segmentation_masks
NF0014_T2	G10-1	zstack_images	segmentation_masks
NF0014_T2	F3-5	zstack_images	segmentation_masks
NF0014_T2	D6-3	zstack_images	segmentation_masks
NF0014_T2	C8-5	zstack_images	segmentation_masks
NF0014_T2	D7-6	zstack_images	segmentation_masks
NF0014_T2	D10-3	zstack_images	segmentation_masks
NF0014_T2	G7-6	zstack_images	segmentation_masks
NF0014_T2	D4-1	zstack_images	segmentation_masks
NF0014_T2	C5-1	zstack_images	segmentation_masks
NF0014_T2	G7-5	zstack_images	segmentation_masks
NF0014_T2	E8-4	zstack_images	segmentation_masks
NF0014_T2	G10-6	zstack_images	segmentation_masks
NF0014_T2	D7-5	zstack_images	segmentation_masks
NF0014_T2	G5-1	zstack_images	segmentation_masks
NF0014_T2	C4-2	zstack_images	segmentation_masks
NF0014_T2	G5-2	zstack_images	segmentation_masks
NF0014_T2	E7-1	zstack_images	segmentation_masks
NF0014_T2	F8-2	zstack_images	segmentation_masks
NF0014_T2	E5-5	zstack_images	segmentation_masks
NF0014_T2	F2-3	zstack_images	segmentation_masks
NF0014_T2	C7-2	zstack_images	segmentation_masks
NF0014_T2	E9-2	zstack_images	segmentation_masks
NF0014_T2	C5-7	zstack_images	segmentation_masks
NF0014_T2	G11-1	zstack_images	segmentation_masks
NF0014_T2	E10-1	zstack_images	segmentation_masks
NF0014_T2	F4-5	zstack_images	segmentation_masks
NF0014_T2	F6-4	zstack_images	segmentation_masks
NF0014_T2	F8-3	zstack_images	segmentation_masks
NF0014_T2	E9-4	zstack_images	segmentation_masks
NF0014_T2	E9-1	zstack_images	segmentation_masks
NF0014_T2	E2-1	zstack_images	segmentation_masks
NF0014_T2	C2-5	zstack_images	segmentation_masks
NF0014_T2	E4-1	zstack_images	segmentation_masks
NF0014_T2	E4-2	zstack_images	segmentation_masks
NF0014_T2	D10-2	zstack_images	segmentation_masks
NF0014_T2	D9-3	zstack_images	segmentation_masks
NF0014_T2	C2-7	zstack_images	segmentation_masks
NF0014_T2	G6-5	zstack_images	segmentation_masks
NF0014_T2	E3-3	zstack_images	segmentation_masks
NF0014_T2	E10-3	zstack_images	segmentation_masks
NF0014_T2	C4-6	zstack_images	segmentation_masks
NF0014_T2	D4-5	zstack_images	segmentation_masks
NF0014_T2	G3-5	zstack_images	segmentation_masks
